year,value
1964,-10004
1965,-4997
1966,-2001
1967,-2999
1968,-2001
1969,0
1970,2002
1971,76999
1972,-2001
1973,-19999
1974,-34997
1975,-2117
1976,-1881
1977,49617
1978,-6609
1979,-337639
1980,-52498
1981,-57715
1982,-58798
1983,-57271
1984,-54728
1985,-56107
1986,-58879
1987,-56261
1988,-45612
1989,-6835
1990,-10252
1991,-824
1992,-5664
1993,-5426
1994,-2891
1995,43672
1996,50794
1997,52526
1998,72370
1999,-31169
2000,-150955
2001,-162571
2002,-159577
2003,-153880
2004,-150349
2005,-144080
2006,-131559
2007,-119471
2008,-101560
2009,-18546
2010,-4382
2011,-4378
2012,-4545
2013,-4786
2014,-4875
2015,-4761
2016,-4432
2017,-3847
2018,-3080
2019,-4028
2020,-2016
2021,-992
2022,-82700
