,Time,Age,AgeStart,Population,Deaths
0,1950,0-4,0,3406207,141300
1,1951,0-4,0,3658997.5,138855
2,1952,0-4,0,3933554.5,144568
3,1953,0-4,0,4239034.5,145059
4,1954,0-4,0,4469899.5,153022
5,1955,0-4,0,4646880.5,140891
6,1956,0-4,0,4853964.5,138391
7,1957,0-4,0,5094240.5,141463
8,1958,0-4,0,5339791,141332
9,1959,0-4,0,5564662,139380
10,1960,0-4,0,5769543,136598
11,1961,0-4,0,5907425.5,125209
12,1962,0-4,0,5985115,129874
13,1963,0-4,0,6091700.5,137260
14,1964,0-4,0,6179590,133470
15,1965,0-4,0,6230986,135537
16,1966,0-4,0,6318906,135325
17,1967,0-4,0,6378912,135986
18,1968,0-4,0,6354926,158876
19,1969,0-4,0,6351817,149051
20,1970,0-4,0,6394558.5,150633
21,1971,0-4,0,6503487.5,151042
22,1972,0-4,0,6672286.5,176798
23,1973,0-4,0,6870923.5,160233
24,1974,0-4,0,7056382.5,166960
25,1975,0-4,0,7227690.5,129756
26,1976,0-4,0,7399216.5,122580
27,1977,0-4,0,7544465.5,121922
28,1978,0-4,0,7662825.5,121848
29,1979,0-4,0,7811400,121632
30,1980,0-4,0,7982865.5,121285
31,1981,0-4,0,8148518,121309
32,1982,0-4,0,8332010.5,121229
33,1983,0-4,0,8514783,120968
34,1984,0-4,0,8684735.5,119785
35,1985,0-4,0,8838227,118319
36,1986,0-4,0,8961831,115856
37,1987,0-4,0,9044322.5,112090
38,1988,0-4,0,9090791.5,107966
39,1989,0-4,0,9111796,103615
40,1990,0-4,0,9119439,98643
41,1991,0-4,0,9118765.5,93655
42,1992,0-4,0,9102739.5,87607
43,1993,0-4,0,9053587,81079
44,1994,0-4,0,8942273.5,73906
45,1995,0-4,0,8741095,66201
46,1996,0-4,0,8446859,59371
47,1997,0-4,0,8095655.5,54294
48,1998,0-4,0,7733584.5,48818
49,1999,0-4,0,7404284.5,45533
50,2000,0-4,0,7161361.5,43139
51,2001,0-4,0,7025185,41195
52,2002,0-4,0,6981134,39980
53,2003,0-4,0,6998143.5,38558
54,2004,0-4,0,7047756.5,37698
55,2005,0-4,0,7095286,36523
56,2006,0-4,0,7109272.5,35328
57,2007,0-4,0,7101911.5,34920
58,2008,0-4,0,7103259,34685
59,2009,0-4,0,7112804,34286
60,2010,0-4,0,7129394.5,34012
61,2011,0-4,0,7178659,33952
62,2012,0-4,0,7252918.5,34131
63,2013,0-4,0,7332431,34332
64,2014,0-4,0,7411583,34103
65,2015,0-4,0,7485259.5,33872
66,2016,0-4,0,7537841,33382
67,2017,0-4,0,7550471.5,32905
68,2018,0-4,0,7525360.5,32468
69,2019,0-4,0,7481736.5,32059
70,2020,0-4,0,7429598,31546
71,2021,0-4,0,7368156.5,30705
72,2022,0-4,0,7301939.5,27991
73,2023,0-4,0,7227304,26884
74,1950,5-9,5,2454017.5,14703
75,1951,5-9,5,2509800.5,14492
76,1952,5-9,5,2584905.5,14376
77,1953,5-9,5,2692175.5,14610
78,1954,5-9,5,2905507.5,15992
79,1955,5-9,5,3201219,15323
80,1956,5-9,5,3453009.5,15380
81,1957,5-9,5,3727144.5,16070
82,1958,5-9,5,4030683.5,16244
83,1959,5-9,5,4266437.5,16448
84,1960,5-9,5,4449482.5,16322
85,1961,5-9,5,4661108,16124
86,1962,5-9,5,4902835,16775
87,1963,5-9,5,5147267,19254
88,1964,5-9,5,5370234,20229
89,1965,5-9,5,5572032,20545
90,1966,5-9,5,5708836.5,21138
91,1967,5-9,5,5783131.5,21693
92,1968,5-9,5,5880208.5,27799
93,1969,5-9,5,5958260,25138
94,1970,5-9,5,6001229.5,25266
95,1971,5-9,5,6081924.5,24698
96,1972,5-9,5,6131927,30122
97,1973,5-9,5,6106114,24303
98,1974,5-9,5,6106077,25685
99,1975,5-9,5,6149973.5,16241
100,1976,5-9,5,6261385,13815
101,1977,5-9,5,6444674.5,13818
102,1978,5-9,5,6667195.5,13435
103,1979,5-9,5,6882873.5,12895
104,1980,5-9,5,7087066,13044
105,1981,5-9,5,7280512.5,12423
106,1982,5-9,5,7443825.5,12209
107,1983,5-9,5,7576624,12623
108,1984,5-9,5,7712530.5,12656
109,1985,5-9,5,7865825,12364
110,1986,5-9,5,8032629,12316
111,1987,5-9,5,8216828,11858
112,1988,5-9,5,8400739.5,12352
113,1989,5-9,5,8571972.5,11960
114,1990,5-9,5,8725735,12138
115,1991,5-9,5,8848054,11593
116,1992,5-9,5,8928353,11820
117,1993,5-9,5,8973203.5,11175
118,1994,5-9,5,8996829.5,11281
119,1995,5-9,5,9011068.5,10488
120,1996,5-9,5,9017540,10610
121,1997,5-9,5,9008693.5,10373
122,1998,5-9,5,8967438,9689
123,1999,5-9,5,8863801.5,9423
124,2000,5-9,5,8669029.5,9062
125,2001,5-9,5,8380242.5,8586
126,2002,5-9,5,8033524,8126
127,2003,5-9,5,7673907,7639
128,2004,5-9,5,7346730.5,7244
129,2005,5-9,5,7106903,6866
130,2006,5-9,5,6973192.5,6780
131,2007,5-9,5,6930807.5,6654
132,2008,5-9,5,6948862.5,6792
133,2009,5-9,5,6999176,6724
134,2010,5-9,5,7047543.5,6733
135,2011,5-9,5,7062908,6569
136,2012,5-9,5,7057241.5,6562
137,2013,5-9,5,7060268.5,6496
138,2014,5-9,5,7070994.5,6432
139,2015,5-9,5,7088078,6470
140,2016,5-9,5,7137437.5,6528
141,2017,5-9,5,7211593.5,6506
142,2018,5-9,5,7290955,6594
143,2019,5-9,5,7370019,6532
144,2020,5-9,5,7443780.5,6396
145,2021,5-9,5,7496644.5,6308
146,2022,5-9,5,7509077,6163
147,2023,5-9,5,7484012,6004
148,1950,10-14,10,2376272,8035
149,1951,10-14,10,2349571,7672
150,1952,10-14,10,2338947.5,7376
151,1953,10-14,10,2345788,7220
152,1954,10-14,10,2368287.5,7143
153,1955,10-14,10,2406634.5,6307
154,1956,10-14,10,2463456,6103
155,1957,10-14,10,2539331,6162
156,1958,10-14,10,2646997.5,6083
157,1959,10-14,10,2859452.5,6335
158,1960,10-14,10,3153070.5,6672
159,1961,10-14,10,3403560.5,6861
160,1962,10-14,10,3676345,7352
161,1963,10-14,10,3977665,8626
162,1964,10-14,10,4211042.5,9255
163,1965,10-14,10,4391724,9420
164,1966,10-14,10,4600261,9999
165,1967,10-14,10,4837491,10707
166,1968,10-14,10,5076246.5,13847
167,1969,10-14,10,5294044,12962
168,1970,10-14,10,5491302.5,13395
169,1971,10-14,10,5625502.5,13351
170,1972,10-14,10,5696214.5,16207
171,1973,10-14,10,5790168,13596
172,1974,10-14,10,5867675,14444
173,1975,10-14,10,5911954.5,9556
174,1976,10-14,10,5996248.5,8259
175,1977,10-14,10,6054616.5,8136
176,1978,10-14,10,6040212.5,7679
177,1979,10-14,10,6002890,7214
178,1980,10-14,10,6011290.5,7055
179,1981,10-14,10,6134045.5,6749
180,1982,10-14,10,6327340,6713
181,1983,10-14,10,6561006.5,7064
182,1984,10-14,10,6788885,7214
183,1985,10-14,10,6999049.5,7174
184,1986,10-14,10,7192231,7195
185,1987,10-14,10,7355269,6996
